,strategy,std
0,fluctuation_history,0.009194387282183743
1,tag_count,0.010076636804714477
2,k_means_bert,0.011636097038757679
3,representative_diversity,0.017052779159117654
4,tag_flip,0.017284473649164914
5,entropy,0.0179428649581083
6,least_confidence,0.01796002675825801
7,round_robin,0.018540034079535306
8,margin_confidence,0.019386618633321268
9,information_density,0.02080855312905297
10,sequential_representation_lc,0.021485836490129716
11,diversity,0.023480563744553443
