,Label,Bias,run_id,parent_run_id,experiment_run_id,experiment_id,corpus,start_time,strategy,type
0,con,0.6036671964732611,c9ad38a6f629413ca4b38d01f2fe97a8,339cccb8a3e54404a5ce434733bf7ed6,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-02 23:08:00.514000+00:00,sequential-representation-least-confidence,bias_distr_diff
1,pro,0.5704776037706207,c9ad38a6f629413ca4b38d01f2fe97a8,339cccb8a3e54404a5ce434733bf7ed6,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-02 23:08:00.514000+00:00,sequential-representation-least-confidence,bias_distr_diff
0,con,0.6405018406095305,303efd5c7b3a41bd875cae731a79bfcd,95b34a7b77f149e48a39a6d032d710cc,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 00:42:36.463000+00:00,representative-diversity,bias_distr_diff
1,pro,0.5847205532655596,303efd5c7b3a41bd875cae731a79bfcd,95b34a7b77f149e48a39a6d032d710cc,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 00:42:36.463000+00:00,representative-diversity,bias_distr_diff
0,con,0.656077632987153,d690cea175b84b70b61a0f1b2af3bae1,4d05c5980ffc41e287e2a258b1a6a2b4,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 12:03:11.756000+00:00,max-tag-count,bias_distr_diff
1,pro,0.6358052654540739,d690cea175b84b70b61a0f1b2af3bae1,4d05c5980ffc41e287e2a258b1a6a2b4,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 12:03:11.756000+00:00,max-tag-count,bias_distr_diff
0,con,0.68533486461539,93a80bea39d5472b917627289adc2ea9,5ff0f72cd6dc4e0296a28cd0f072f1b8,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 20:48:51.538000+00:00,k-means-cluster-based-bert-km,bias_distr_diff
1,pro,0.6403630092924544,93a80bea39d5472b917627289adc2ea9,5ff0f72cd6dc4e0296a28cd0f072f1b8,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 20:48:51.538000+00:00,k-means-cluster-based-bert-km,bias_distr_diff
0,con,0.6411332916518666,8ee155bdace5416bb28e98e49d1297e7,e47a4c010a604c658121c5cc8b11fb2a,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 16:01:37.318000+00:00,tag-flip-historical,bias_distr_diff
1,pro,0.590607639056801,8ee155bdace5416bb28e98e49d1297e7,e47a4c010a604c658121c5cc8b11fb2a,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 16:01:37.318000+00:00,tag-flip-historical,bias_distr_diff
0,con,0.6386074874825224,256bf97de5f04a2d88062e15bb245660,b671db03d956448db305c30b6d0ef162,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 17:15:06.633000+00:00,round-robin-highest-confidence,bias_distr_diff
1,pro,0.5769344075416597,256bf97de5f04a2d88062e15bb245660,b671db03d956448db305c30b6d0ef162,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 17:15:06.633000+00:00,round-robin-highest-confidence,bias_distr_diff
0,con,0.6718639090455543,4f713ea0d572483d83728e2f6d8c9f43,d26283e80e6f42e0a21b0adbb76467cf,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 08:31:29.228000+00:00,fluctuation-historical-sequence,bias_distr_diff
1,pro,0.6141559822217667,4f713ea0d572483d83728e2f6d8c9f43,d26283e80e6f42e0a21b0adbb76467cf,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 08:31:29.228000+00:00,fluctuation-historical-sequence,bias_distr_diff
0,con,0.6750211642572345,0c3ea97cf4ac4343b9ae5440e9723e2e,9a2db48f93a54085ac88a69b16e274d2,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-02 23:44:16.407000+00:00,diversity,bias_distr_diff
1,pro,0.6147257002015644,0c3ea97cf4ac4343b9ae5440e9723e2e,9a2db48f93a54085ac88a69b16e274d2,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-02 23:44:16.407000+00:00,diversity,bias_distr_diff
0,con,0.6198744398932197,06a0e802ff4c4b9cb0cdac607607f420,339cccb8a3e54404a5ce434733bf7ed6,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-02 22:45:10.785000+00:00,sequential-representation-least-confidence,bias_distr_diff
1,pro,0.6008625626931571,06a0e802ff4c4b9cb0cdac607607f420,339cccb8a3e54404a5ce434733bf7ed6,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-02 22:45:10.785000+00:00,sequential-representation-least-confidence,bias_distr_diff
0,con,0.6205058909355557,2df5acb6cf3c402b8f0e2677b44a61f1,95b34a7b77f149e48a39a6d032d710cc,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 00:20:06.885000+00:00,representative-diversity,bias_distr_diff
1,pro,0.6333364875416179,2df5acb6cf3c402b8f0e2677b44a61f1,95b34a7b77f149e48a39a6d032d710cc,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 00:20:06.885000+00:00,representative-diversity,bias_distr_diff
0,con,0.7158549983282989,5bade389f73f47049b80b4c7fcd4b3cb,4d05c5980ffc41e287e2a258b1a6a2b4,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 11:25:13.612000+00:00,max-tag-count,bias_distr_diff
1,pro,0.5136957117841308,5bade389f73f47049b80b4c7fcd4b3cb,4d05c5980ffc41e287e2a258b1a6a2b4,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 11:25:13.612000+00:00,max-tag-count,bias_distr_diff
0,con,0.7286945028557984,b94a4c2f182448d6b8e6a2ab33e80b15,5ff0f72cd6dc4e0296a28cd0f072f1b8,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 20:26:43.816000+00:00,k-means-cluster-based-bert-km,bias_distr_diff
1,pro,0.6673296603362054,b94a4c2f182448d6b8e6a2ab33e80b15,5ff0f72cd6dc4e0296a28cd0f072f1b8,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 20:26:43.816000+00:00,k-means-cluster-based-bert-km,bias_distr_diff
0,con,0.6501840899253499,3fa4e850c3d74a6694f933e446d2d13c,e47a4c010a604c658121c5cc8b11fb2a,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 15:35:07.070000+00:00,tag-flip-historical,bias_distr_diff
1,pro,0.595925006868245,3fa4e850c3d74a6694f933e446d2d13c,e47a4c010a604c658121c5cc8b11fb2a,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 15:35:07.070000+00:00,tag-flip-historical,bias_distr_diff
0,con,0.645553448948219,a444527d469a44d69bcaf63d89c797c4,1dda71364a034840a0effc59cbbf9408,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 16:45:38.902000+00:00,round-robin-highest-confidence,bias_distr_diff
1,pro,0.6004827507066254,a444527d469a44d69bcaf63d89c797c4,1dda71364a034840a0effc59cbbf9408,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 16:45:38.902000+00:00,round-robin-highest-confidence,bias_distr_diff
0,con,0.6209268582971131,8a22ff58a6ce472cb77961919264acc0,623dff0eb4204417b2294728ae6b0155,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 00:00:08.872000+00:00,representative-diversity,bias_distr_diff
1,pro,0.6591637026257737,8a22ff58a6ce472cb77961919264acc0,623dff0eb4204417b2294728ae6b0155,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 00:00:08.872000+00:00,representative-diversity,bias_distr_diff
0,con,0.6148228315545313,21d8e69ccf8246f0babec3fda0e426c8,977b29235fa84f90993101624c46d093,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 07:51:42.007000+00:00,fluctuation-historical-sequence,bias_distr_diff
1,pro,0.598393784780701,21d8e69ccf8246f0babec3fda0e426c8,977b29235fa84f90993101624c46d093,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 07:51:42.007000+00:00,fluctuation-historical-sequence,bias_distr_diff
0,con,0.5609390092751887,6bcf835063584959bc55da96a51ebcab,6038b4f49c9442948b5965d3187550bf,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-02 22:18:57.656000+00:00,sequential-representation-least-confidence,bias_distr_diff
1,pro,0.6956256533328175,6bcf835063584959bc55da96a51ebcab,6038b4f49c9442948b5965d3187550bf,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-02 22:18:57.656000+00:00,sequential-representation-least-confidence,bias_distr_diff
0,con,0.5963002676460073,4c4a3d3fef724b84acef8089ac4fdcb2,85f79a874c0447aa9372d8d923b1445f,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 10:47:22.559000+00:00,max-tag-count,bias_distr_diff
