,Label,Bias,run_id,parent_run_id,experiment_run_id,experiment_id,corpus,start_time,strategy,type
1,pro,0.3785188576374939,6509c4028861465687b6b5bc3b9c99ac,bffcb7bb722746ddaba81850d09f4105,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 01:56:46.459000+00:00,representative-diversity,bias
0,con,0.4875358080968983,a79226dc6c31404383b3eb50cd47cafb,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 22:07:11.174000+00:00,k-means-cluster-based-bert-km,bias
1,pro,0.4046358315800122,a79226dc6c31404383b3eb50cd47cafb,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 22:07:11.174000+00:00,k-means-cluster-based-bert-km,bias
0,con,0.4660313931209797,026f8478ef014c58b00388d46d9e8907,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 11:38:27.010000+00:00,fluctuation-historical-sequence,bias
1,pro,0.3896274347895153,026f8478ef014c58b00388d46d9e8907,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 11:38:27.010000+00:00,fluctuation-historical-sequence,bias
0,con,0.4792412480347583,d30bcf642b504729b2bd2987adb2e5f6,005dd0826ab442348549fd167c95f908,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 17:35:19.503000+00:00,tag-flip-historical,bias
1,pro,0.401326893704942,d30bcf642b504729b2bd2987adb2e5f6,005dd0826ab442348549fd167c95f908,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 17:35:19.503000+00:00,tag-flip-historical,bias
0,con,0.4869213962404435,7881cf83cbdf4c448317cebd0b97ccf8,498c554786c946efad160871fa3a209b,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 18:41:48.221000+00:00,round-robin-highest-confidence,bias
1,pro,0.3736736271775697,7881cf83cbdf4c448317cebd0b97ccf8,498c554786c946efad160871fa3a209b,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 18:41:48.221000+00:00,round-robin-highest-confidence,bias
0,con,0.5208676513095722,b524b3a0e7d64fb6bb729ec4ad1f5409,4457fe1e6f2944d2b6f62b655a313f4c,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 00:58:13.038000+00:00,diversity,bias
1,pro,0.4099537674506607,b524b3a0e7d64fb6bb729ec4ad1f5409,4457fe1e6f2944d2b6f62b655a313f4c,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 00:58:13.038000+00:00,diversity,bias
0,con,0.5191780187043215,a556e75abddf401b8702fb8847b4452a,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 13:34:49.565000+00:00,max-tag-count,bias
1,pro,0.3797006211643047,a556e75abddf401b8702fb8847b4452a,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 13:34:49.565000+00:00,max-tag-count,bias
0,con,0.4936799266614465,51fa505bbaa9484ead5e74f3eb9e1735,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 00:05:17.704000+00:00,sequential-representation-least-confidence,bias
1,pro,0.3669375750747481,51fa505bbaa9484ead5e74f3eb9e1735,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 00:05:17.704000+00:00,sequential-representation-least-confidence,bias
0,con,0.4706394820443908,6a2dba7d52c445c1b55e6de015862c24,bffcb7bb722746ddaba81850d09f4105,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 01:34:37.085000+00:00,representative-diversity,bias
1,pro,0.380173326575029,6a2dba7d52c445c1b55e6de015862c24,bffcb7bb722746ddaba81850d09f4105,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 01:34:37.085000+00:00,representative-diversity,bias
0,con,0.546980155208902,bad0b0b60e724251bd0e098ab7d7654f,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 21:45:39.127000+00:00,k-means-cluster-based-bert-km,bias
1,pro,0.4093628856872554,bad0b0b60e724251bd0e098ab7d7654f,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 21:45:39.127000+00:00,k-means-cluster-based-bert-km,bias
0,con,0.5008992659747906,9132b33dc54545e28c7ee07d533621d7,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 11:09:13.185000+00:00,fluctuation-historical-sequence,bias
1,pro,0.3768643886999588,9132b33dc54545e28c7ee07d533621d7,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 11:09:13.185000+00:00,fluctuation-historical-sequence,bias
0,con,0.4938335296255602,4017976f0e8e44d39aadabd37c25c27d,005dd0826ab442348549fd167c95f908,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 17:08:48.119000+00:00,tag-flip-historical,bias
1,pro,0.4081811221604445,4017976f0e8e44d39aadabd37c25c27d,005dd0826ab442348549fd167c95f908,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 17:08:48.119000+00:00,tag-flip-historical,bias
0,con,0.4342355795494428,b63790038a9d431c83d04661ae9c2924,b671db03d956448db305c30b6d0ef162,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 18:18:21.014000+00:00,round-robin-highest-confidence,bias
1,pro,0.3371571341991164,b63790038a9d431c83d04661ae9c2924,b671db03d956448db305c30b6d0ef162,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 18:18:21.014000+00:00,round-robin-highest-confidence,bias
0,con,0.4244049898461658,b319b253a55f483e8623026e625c70eb,9a2db48f93a54085ac88a69b16e274d2,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 00:38:07.388000+00:00,diversity,bias
