,bin_start,bin_end,bin_accuracy,avg_confidence,bin_count,run_id,parent_run_id,experiment_run_id,experiment_id,corpus,start_time,strategy,type
8,0.8,0.9,0.7936898781969205,0.8368587010448981,30459.0,772f2bcb9c104503aace93425adc180c,498c554786c946efad160871fa3a209b,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 19:46:42.598000+00:00,round-robin-highest-confidence,ece
9,0.9,1.0,0.0,0.900789439678192,1.0,772f2bcb9c104503aace93425adc180c,498c554786c946efad160871fa3a209b,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 19:46:42.598000+00:00,round-robin-highest-confidence,ece
0,0.0,0.1,0.0,0.0,0.0,0d43d8c17dce4257b45933553be93556,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 01:05:16.169000+00:00,sequential-representation-least-confidence,ece
1,0.1,0.2,0.0,0.0,0.0,0d43d8c17dce4257b45933553be93556,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 01:05:16.169000+00:00,sequential-representation-least-confidence,ece
2,0.2,0.3,0.3333333333333333,0.2865602473417918,3.0,0d43d8c17dce4257b45933553be93556,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 01:05:16.169000+00:00,sequential-representation-least-confidence,ece
3,0.3,0.4,0.3216783216783216,0.365087953689215,143.0,0d43d8c17dce4257b45933553be93556,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 01:05:16.169000+00:00,sequential-representation-least-confidence,ece
4,0.4,0.5,0.4367283950617284,0.456899198209062,648.0,0d43d8c17dce4257b45933553be93556,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 01:05:16.169000+00:00,sequential-representation-least-confidence,ece
5,0.5,0.6000000000000001,0.4261057173678533,0.5515209448633328,927.0,0d43d8c17dce4257b45933553be93556,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 01:05:16.169000+00:00,sequential-representation-least-confidence,ece
6,0.6000000000000001,0.7000000000000001,0.4312449145646867,0.6548278285198041,1229.0,0d43d8c17dce4257b45933553be93556,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 01:05:16.169000+00:00,sequential-representation-least-confidence,ece
7,0.7000000000000001,0.8,0.4963705496024888,0.7620468318689005,2893.0,0d43d8c17dce4257b45933553be93556,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 01:05:16.169000+00:00,sequential-representation-least-confidence,ece
8,0.8,0.9,0.807199552086421,0.8369833236665188,30363.0,0d43d8c17dce4257b45933553be93556,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 01:05:16.169000+00:00,sequential-representation-least-confidence,ece
9,0.9,1.0,0.0,0.0,0.0,0d43d8c17dce4257b45933553be93556,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 01:05:16.169000+00:00,sequential-representation-least-confidence,ece
0,0.0,0.1,0.0,0.0,0.0,68a25468c4fa466d9883addde0c31d70,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 15:07:41.066000+00:00,max-tag-count,ece
1,0.1,0.2,0.0,0.0,0.0,68a25468c4fa466d9883addde0c31d70,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 15:07:41.066000+00:00,max-tag-count,ece
2,0.2,0.3,0.0,0.2855735222498576,3.0,68a25468c4fa466d9883addde0c31d70,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 15:07:41.066000+00:00,max-tag-count,ece
3,0.3,0.4,0.25,0.368465683326639,116.0,68a25468c4fa466d9883addde0c31d70,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 15:07:41.066000+00:00,max-tag-count,ece
4,0.4,0.5,0.39196675900277,0.4562690148640868,722.0,68a25468c4fa466d9883addde0c31d70,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 15:07:41.066000+00:00,max-tag-count,ece
5,0.5,0.6000000000000001,0.4209944751381215,0.5532213236086935,905.0,68a25468c4fa466d9883addde0c31d70,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 15:07:41.066000+00:00,max-tag-count,ece
6,0.6000000000000001,0.7000000000000001,0.471847739888977,0.6533663884502474,1261.0,68a25468c4fa466d9883addde0c31d70,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 15:07:41.066000+00:00,max-tag-count,ece
7,0.7000000000000001,0.8,0.5125628140703518,0.7591834391139004,2786.0,68a25468c4fa466d9883addde0c31d70,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 15:07:41.066000+00:00,max-tag-count,ece
8,0.8,0.9,0.8086344655246112,0.836425454234848,30413.0,68a25468c4fa466d9883addde0c31d70,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 15:07:41.066000+00:00,max-tag-count,ece
