,Label,Bias,run_id,parent_run_id,experiment_run_id,experiment_id,corpus,start_time,strategy,type
0,con,2.272634974800845,bb4dd8cd65ac4ac5b528f9f93dc2f099,bffcb7bb722746ddaba81850d09f4105,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 02:28:30.114000+00:00,representative-diversity,bias_log_distr_diff
1,pro,2.164588787136915,bb4dd8cd65ac4ac5b528f9f93dc2f099,bffcb7bb722746ddaba81850d09f4105,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 02:28:30.114000+00:00,representative-diversity,bias_log_distr_diff
0,con,2.2086481648307243,68a25468c4fa466d9883addde0c31d70,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 15:07:41.066000+00:00,max-tag-count,bias_log_distr_diff
1,pro,2.017274651409019,68a25468c4fa466d9883addde0c31d70,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 15:07:41.066000+00:00,max-tag-count,bias_log_distr_diff
0,con,2.102003481547189,92e81793ce3e4eb1b926c5a406a22487,4457fe1e6f2944d2b6f62b655a313f4c,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 01:51:58.004000+00:00,diversity,bias_log_distr_diff
1,pro,2.1685702502646955,92e81793ce3e4eb1b926c5a406a22487,4457fe1e6f2944d2b6f62b655a313f4c,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 01:51:58.004000+00:00,diversity,bias_log_distr_diff
0,con,2.324854095581059,772f2bcb9c104503aace93425adc180c,498c554786c946efad160871fa3a209b,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 19:46:42.598000+00:00,round-robin-highest-confidence,bias_log_distr_diff
1,pro,2.10287610865631,772f2bcb9c104503aace93425adc180c,498c554786c946efad160871fa3a209b,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 19:46:42.598000+00:00,round-robin-highest-confidence,bias_log_distr_diff
0,con,2.182906344727802,0d43d8c17dce4257b45933553be93556,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 01:05:16.169000+00:00,sequential-representation-least-confidence,bias_log_distr_diff
1,pro,1.9336639257256192,0d43d8c17dce4257b45933553be93556,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 01:05:16.169000+00:00,sequential-representation-least-confidence,bias_log_distr_diff
0,con,1.8798883480876891,b5faf1aa24c84c139f994d69dc2dd6ae,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 22:38:53.471000+00:00,k-means-cluster-based-bert-km,bias_log_distr_diff
1,pro,1.949589778236743,b5faf1aa24c84c139f994d69dc2dd6ae,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 22:38:53.471000+00:00,k-means-cluster-based-bert-km,bias_log_distr_diff
0,con,2.408698881059148,af39eed022ac42ce86c084d0e4162d07,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 12:25:32.828000+00:00,fluctuation-historical-sequence,bias_log_distr_diff
1,pro,1.9562255501163777,af39eed022ac42ce86c084d0e4162d07,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 12:25:32.828000+00:00,fluctuation-historical-sequence,bias_log_distr_diff
0,con,2.2924929503088136,e0bc9d5b9b354d798d32fb4ca12cbcb4,005dd0826ab442348549fd167c95f908,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 18:15:31.168000+00:00,tag-flip-historical,bias_log_distr_diff
1,pro,2.0212561145368,e0bc9d5b9b354d798d32fb4ca12cbcb4,005dd0826ab442348549fd167c95f908,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 18:15:31.168000+00:00,tag-flip-historical,bias_log_distr_diff
0,con,2.2910219891600754,ee0b0d2707674cbe8b9eaab5cb7b4591,498c554786c946efad160871fa3a209b,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 19:08:39.469000+00:00,round-robin-highest-confidence,bias_log_distr_diff
1,pro,2.0982310683405654,ee0b0d2707674cbe8b9eaab5cb7b4591,498c554786c946efad160871fa3a209b,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 19:08:39.469000+00:00,round-robin-highest-confidence,bias_log_distr_diff
0,con,2.164519330368572,1ad0d0cc1e354b15bddde0e8b886f677,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 00:30:15.092000+00:00,sequential-representation-least-confidence,bias_log_distr_diff
1,pro,2.0610707458146096,1ad0d0cc1e354b15bddde0e8b886f677,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 00:30:15.092000+00:00,sequential-representation-least-confidence,bias_log_distr_diff
0,con,2.516814525491421,2dca67f205de4c918efdd28485a37215,4457fe1e6f2944d2b6f62b655a313f4c,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 01:20:14.547000+00:00,diversity,bias_log_distr_diff
1,pro,2.27009756002311,2dca67f205de4c918efdd28485a37215,4457fe1e6f2944d2b6f62b655a313f4c,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 01:20:14.547000+00:00,diversity,bias_log_distr_diff
0,con,2.298376794903767,6509c4028861465687b6b5bc3b9c99ac,bffcb7bb722746ddaba81850d09f4105,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 01:56:46.459000+00:00,representative-diversity,bias_log_distr_diff
1,pro,2.1254377330470686,6509c4028861465687b6b5bc3b9c99ac,bffcb7bb722746ddaba81850d09f4105,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 01:56:46.459000+00:00,representative-diversity,bias_log_distr_diff
0,con,2.1343646268194347,1367d57cdca94d2d9af205c54fc5c472,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 14:15:02.309000+00:00,max-tag-count,bias_log_distr_diff
1,pro,1.896503603199664,1367d57cdca94d2d9af205c54fc5c472,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 14:15:02.309000+00:00,max-tag-count,bias_log_distr_diff
0,con,2.231448062636169,026f8478ef014c58b00388d46d9e8907,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 11:38:27.010000+00:00,fluctuation-historical-sequence,bias_log_distr_diff
1,pro,2.187813988715637,026f8478ef014c58b00388d46d9e8907,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 11:38:27.010000+00:00,fluctuation-historical-sequence,bias_log_distr_diff
0,con,2.3344153430478585,a79226dc6c31404383b3eb50cd47cafb,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 22:07:11.174000+00:00,k-means-cluster-based-bert-km,bias_log_distr_diff
1,pro,2.272088291587001,a79226dc6c31404383b3eb50cd47cafb,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 22:07:11.174000+00:00,k-means-cluster-based-bert-km,bias_log_distr_diff
0,con,2.2946993920319216,d30bcf642b504729b2bd2987adb2e5f6,005dd0826ab442348549fd167c95f908,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 17:35:19.503000+00:00,tag-flip-historical,bias_log_distr_diff
1,pro,2.2535081303240228,d30bcf642b504729b2bd2987adb2e5f6,005dd0826ab442348549fd167c95f908,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 17:35:19.503000+00:00,tag-flip-historical,bias_log_distr_diff
0,con,2.3314734207503816,7881cf83cbdf4c448317cebd0b97ccf8,498c554786c946efad160871fa3a209b,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 18:41:48.221000+00:00,round-robin-highest-confidence,bias_log_distr_diff
1,pro,2.0982310683405654,7881cf83cbdf4c448317cebd0b97ccf8,498c554786c946efad160871fa3a209b,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 18:41:48.221000+00:00,round-robin-highest-confidence,bias_log_distr_diff
0,con,2.494014627685976,b524b3a0e7d64fb6bb729ec4ad1f5409,4457fe1e6f2944d2b6f62b655a313f4c,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 00:58:13.038000+00:00,diversity,bias_log_distr_diff
1,pro,2.3019492650453577,b524b3a0e7d64fb6bb729ec4ad1f5409,4457fe1e6f2944d2b6f62b655a313f4c,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 00:58:13.038000+00:00,diversity,bias_log_distr_diff
0,con,2.3638345660226268,51fa505bbaa9484ead5e74f3eb9e1735,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 00:05:17.704000+00:00,sequential-representation-least-confidence,bias_log_distr_diff
1,pro,2.060407168626646,51fa505bbaa9484ead5e74f3eb9e1735,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 00:05:17.704000+00:00,sequential-representation-least-confidence,bias_log_distr_diff
0,con,2.485924341367914,a556e75abddf401b8702fb8847b4452a,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 13:34:49.565000+00:00,max-tag-count,bias_log_distr_diff
1,pro,2.132073504926704,a556e75abddf401b8702fb8847b4452a,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 13:34:49.565000+00:00,max-tag-count,bias_log_distr_diff
0,con,2.2535124798672457,6a2dba7d52c445c1b55e6de015862c24,bffcb7bb722746ddaba81850d09f4105,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 01:34:37.085000+00:00,representative-diversity,bias_log_distr_diff
1,pro,2.1347278136785577,6a2dba7d52c445c1b55e6de015862c24,bffcb7bb722746ddaba81850d09f4105,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 01:34:37.085000+00:00,representative-diversity,bias_log_distr_diff
0,con,2.3984021530179795,9132b33dc54545e28c7ee07d533621d7,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 11:09:13.185000+00:00,fluctuation-historical-sequence,bias_log_distr_diff
1,pro,2.11614765241558,9132b33dc54545e28c7ee07d533621d7,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 11:09:13.185000+00:00,fluctuation-historical-sequence,bias_log_distr_diff
0,con,2.619046325328741,bad0b0b60e724251bd0e098ab7d7654f,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 21:45:39.127000+00:00,k-means-cluster-based-bert-km,bias_log_distr_diff
1,pro,2.2986313791055406,bad0b0b60e724251bd0e098ab7d7654f,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 21:45:39.127000+00:00,k-means-cluster-based-bert-km,bias_log_distr_diff
0,con,2.364570046596996,4017976f0e8e44d39aadabd37c25c27d,005dd0826ab442348549fd167c95f908,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 17:08:48.119000+00:00,tag-flip-historical,bias_log_distr_diff
1,pro,2.291995607225905,4017976f0e8e44d39aadabd37c25c27d,005dd0826ab442348549fd167c95f908,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 17:08:48.119000+00:00,tag-flip-historical,bias_log_distr_diff
0,con,2.079203583741744,b63790038a9d431c83d04661ae9c2924,b671db03d956448db305c30b6d0ef162,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 18:18:21.014000+00:00,round-robin-highest-confidence,bias_log_distr_diff
1,pro,1.893185717259846,b63790038a9d431c83d04661ae9c2924,b671db03d956448db305c30b6d0ef162,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 18:18:21.014000+00:00,round-robin-highest-confidence,bias_log_distr_diff
0,con,2.032132826982115,b319b253a55f483e8623026e625c70eb,9a2db48f93a54085ac88a69b16e274d2,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 00:38:07.388000+00:00,diversity,bias_log_distr_diff
1,pro,2.2276286199934465,b319b253a55f483e8623026e625c70eb,9a2db48f93a54085ac88a69b16e274d2,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 00:38:07.388000+00:00,diversity,bias_log_distr_diff
0,con,2.193203072768971,0adb2b7a0f424204a69a34db9c4b1d7a,d26283e80e6f42e0a21b0adbb76467cf,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 10:20:53.123000+00:00,fluctuation-historical-sequence,bias_log_distr_diff
1,pro,2.0179382285969827,0adb2b7a0f424204a69a34db9c4b1d7a,d26283e80e6f42e0a21b0adbb76467cf,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 10:20:53.123000+00:00,fluctuation-historical-sequence,bias_log_distr_diff
0,con,2.2579253633134613,88e21f16eb1c4628baa99d20af92e861,339cccb8a3e54404a5ce434733bf7ed6,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-02 23:39:09.304000+00:00,sequential-representation-least-confidence,bias_log_distr_diff
1,pro,1.9004850663274444,88e21f16eb1c4628baa99d20af92e861,339cccb8a3e54404a5ce434733bf7ed6,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-02 23:39:09.304000+00:00,sequential-representation-least-confidence,bias_log_distr_diff
0,con,2.36971841061758,4fa8bdee9cee40b98e9f946b4488df8d,5ff0f72cd6dc4e0296a28cd0f072f1b8,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 21:22:32.735000+00:00,k-means-cluster-based-bert-km,bias_log_distr_diff
