,Label,Error,run_id,parent_run_id,experiment_run_id,experiment_id,corpus,start_time,strategy,type
0,O,0.1329062632655424,ee0b0d2707674cbe8b9eaab5cb7b4591,498c554786c946efad160871fa3a209b,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 19:08:39.469000+00:00,round-robin-highest-confidence,error_per_label
1,con,0.6380581728799672,ee0b0d2707674cbe8b9eaab5cb7b4591,498c554786c946efad160871fa3a209b,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 19:08:39.469000+00:00,round-robin-highest-confidence,error_per_label
2,pro,0.5843651820365922,ee0b0d2707674cbe8b9eaab5cb7b4591,498c554786c946efad160871fa3a209b,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 19:08:39.469000+00:00,round-robin-highest-confidence,error_per_label
0,O,0.1401998996642612,1ad0d0cc1e354b15bddde0e8b886f677,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 00:30:15.092000+00:00,sequential-representation-least-confidence,error_per_label
1,con,0.6028267103646047,1ad0d0cc1e354b15bddde0e8b886f677,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 00:30:15.092000+00:00,sequential-representation-least-confidence,error_per_label
2,pro,0.5740158935501756,1ad0d0cc1e354b15bddde0e8b886f677,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 00:30:15.092000+00:00,sequential-representation-least-confidence,error_per_label
0,O,0.096515262609501,2dca67f205de4c918efdd28485a37215,4457fe1e6f2944d2b6f62b655a313f4c,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 01:20:14.547000+00:00,diversity,error_per_label
1,con,0.7009422367882016,2dca67f205de4c918efdd28485a37215,4457fe1e6f2944d2b6f62b655a313f4c,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 01:20:14.547000+00:00,diversity,error_per_label
2,pro,0.6322306412862687,2dca67f205de4c918efdd28485a37215,4457fe1e6f2944d2b6f62b655a313f4c,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 01:20:14.547000+00:00,diversity,error_per_label
0,O,0.1439817852043376,6509c4028861465687b6b5bc3b9c99ac,bffcb7bb722746ddaba81850d09f4105,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 01:56:46.459000+00:00,representative-diversity,error_per_label
1,con,0.6401065137238836,6509c4028861465687b6b5bc3b9c99ac,bffcb7bb722746ddaba81850d09f4105,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 01:56:46.459000+00:00,representative-diversity,error_per_label
2,pro,0.5919423396784328,6509c4028861465687b6b5bc3b9c99ac,bffcb7bb722746ddaba81850d09f4105,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 01:56:46.459000+00:00,representative-diversity,error_per_label
0,O,0.1348743873731331,1367d57cdca94d2d9af205c54fc5c472,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 14:15:02.309000+00:00,max-tag-count,error_per_label
1,con,0.5944285129045473,1367d57cdca94d2d9af205c54fc5c472,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 14:15:02.309000+00:00,max-tag-count,error_per_label
2,pro,0.528183330253188,1367d57cdca94d2d9af205c54fc5c472,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 14:15:02.309000+00:00,max-tag-count,error_per_label
0,O,0.1223710106896152,026f8478ef014c58b00388d46d9e8907,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 11:38:27.010000+00:00,fluctuation-historical-sequence,error_per_label
1,con,0.6214666120442441,026f8478ef014c58b00388d46d9e8907,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 11:38:27.010000+00:00,fluctuation-historical-sequence,error_per_label
2,pro,0.6093143596377749,026f8478ef014c58b00388d46d9e8907,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 11:38:27.010000+00:00,fluctuation-historical-sequence,error_per_label
0,O,0.1175085864238027,a79226dc6c31404383b3eb50cd47cafb,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 22:07:11.174000+00:00,k-means-cluster-based-bert-km,error_per_label
1,con,0.6501433838590741,a79226dc6c31404383b3eb50cd47cafb,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 22:07:11.174000+00:00,k-means-cluster-based-bert-km,error_per_label
2,pro,0.6327850674551839,a79226dc6c31404383b3eb50cd47cafb,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 22:07:11.174000+00:00,k-means-cluster-based-bert-km,error_per_label
0,O,0.1238374561031142,d30bcf642b504729b2bd2987adb2e5f6,005dd0826ab442348549fd167c95f908,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 17:35:19.503000+00:00,tag-flip-historical,error_per_label
1,con,0.6390823433019255,d30bcf642b504729b2bd2987adb2e5f6,005dd0826ab442348549fd167c95f908,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 17:35:19.503000+00:00,tag-flip-historical,error_per_label
2,pro,0.6276104232119756,d30bcf642b504729b2bd2987adb2e5f6,005dd0826ab442348549fd167c95f908,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 17:35:19.503000+00:00,tag-flip-historical,error_per_label
0,O,0.1588391926832092,7881cf83cbdf4c448317cebd0b97ccf8,498c554786c946efad160871fa3a209b,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 18:41:48.221000+00:00,round-robin-highest-confidence,error_per_label
1,con,0.6493240475215076,7881cf83cbdf4c448317cebd0b97ccf8,498c554786c946efad160871fa3a209b,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 18:41:48.221000+00:00,round-robin-highest-confidence,error_per_label
2,pro,0.5843651820365922,7881cf83cbdf4c448317cebd0b97ccf8,498c554786c946efad160871fa3a209b,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 18:41:48.221000+00:00,round-robin-highest-confidence,error_per_label
0,O,0.1238374561031142,b524b3a0e7d64fb6bb729ec4ad1f5409,4457fe1e6f2944d2b6f62b655a313f4c,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 00:58:13.038000+00:00,diversity,error_per_label
1,con,0.6945923801720606,b524b3a0e7d64fb6bb729ec4ad1f5409,4457fe1e6f2944d2b6f62b655a313f4c,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 00:58:13.038000+00:00,diversity,error_per_label
2,pro,0.6411014599889114,b524b3a0e7d64fb6bb729ec4ad1f5409,4457fe1e6f2944d2b6f62b655a313f4c,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 00:58:13.038000+00:00,diversity,error_per_label
0,O,0.1457183652992706,51fa505bbaa9484ead5e74f3eb9e1735,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 00:05:17.704000+00:00,sequential-representation-least-confidence,error_per_label
1,con,0.6583367472347399,51fa505bbaa9484ead5e74f3eb9e1735,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 00:05:17.704000+00:00,sequential-representation-least-confidence,error_per_label
2,pro,0.5738310848272038,51fa505bbaa9484ead5e74f3eb9e1735,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 00:05:17.704000+00:00,sequential-representation-least-confidence,error_per_label
0,O,0.1461042719870335,9132b33dc54545e28c7ee07d533621d7,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 11:09:13.185000+00:00,fluctuation-historical-sequence,error_per_label
1,con,0.6679639492011471,9132b33dc54545e28c7ee07d533621d7,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 11:09:13.185000+00:00,fluctuation-historical-sequence,error_per_label
2,pro,0.5893550175568287,9132b33dc54545e28c7ee07d533621d7,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 11:09:13.185000+00:00,fluctuation-historical-sequence,error_per_label
0,O,0.1642032956431135,6a2dba7d52c445c1b55e6de015862c24,bffcb7bb722746ddaba81850d09f4105,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 01:34:37.085000+00:00,representative-diversity,error_per_label
1,con,0.6276116345759934,6a2dba7d52c445c1b55e6de015862c24,bffcb7bb722746ddaba81850d09f4105,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 01:34:37.085000+00:00,representative-diversity,error_per_label
2,pro,0.594529661800037,6a2dba7d52c445c1b55e6de015862c24,bffcb7bb722746ddaba81850d09f4105,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 01:34:37.085000+00:00,representative-diversity,error_per_label
0,O,0.1315169991895959,bad0b0b60e724251bd0e098ab7d7654f,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 21:45:39.127000+00:00,k-means-cluster-based-bert-km,error_per_label
1,con,0.7294141745186399,bad0b0b60e724251bd0e098ab7d7654f,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 21:45:39.127000+00:00,k-means-cluster-based-bert-km,error_per_label
2,pro,0.6401774163740529,bad0b0b60e724251bd0e098ab7d7654f,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 21:45:39.127000+00:00,k-means-cluster-based-bert-km,error_per_label
0,O,0.1244934974723112,a556e75abddf401b8702fb8847b4452a,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 13:34:49.565000+00:00,max-tag-count,error_per_label
1,con,0.6923392052437526,a556e75abddf401b8702fb8847b4452a,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 13:34:49.565000+00:00,max-tag-count,error_per_label
2,pro,0.5937904269081501,a556e75abddf401b8702fb8847b4452a,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 13:34:49.565000+00:00,max-tag-count,error_per_label
0,O,0.1476478987380851,4017976f0e8e44d39aadabd37c25c27d,005dd0826ab442348549fd167c95f908,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 17:08:48.119000+00:00,tag-flip-historical,error_per_label
1,con,0.6585415813191315,4017976f0e8e44d39aadabd37c25c27d,005dd0826ab442348549fd167c95f908,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 17:08:48.119000+00:00,tag-flip-historical,error_per_label
2,pro,0.6383293291443356,4017976f0e8e44d39aadabd37c25c27d,005dd0826ab442348549fd167c95f908,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 17:08:48.119000+00:00,tag-flip-historical,error_per_label
0,O,0.1264230309111257,b63790038a9d431c83d04661ae9c2924,b671db03d956448db305c30b6d0ef162,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 18:18:21.014000+00:00,round-robin-highest-confidence,error_per_label
1,con,0.5790659565751741,b63790038a9d431c83d04661ae9c2924,b671db03d956448db305c30b6d0ef162,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 18:18:21.014000+00:00,round-robin-highest-confidence,error_per_label
2,pro,0.5272592866383293,b63790038a9d431c83d04661ae9c2924,b671db03d956448db305c30b6d0ef162,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 18:18:21.014000+00:00,round-robin-highest-confidence,error_per_label
0,O,0.1285069270250453,b319b253a55f483e8623026e625c70eb,9a2db48f93a54085ac88a69b16e274d2,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 00:38:07.388000+00:00,diversity,error_per_label
1,con,0.565956575174109,b319b253a55f483e8623026e625c70eb,9a2db48f93a54085ac88a69b16e274d2,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 00:38:07.388000+00:00,diversity,error_per_label
2,pro,0.6204028830160784,b319b253a55f483e8623026e625c70eb,9a2db48f93a54085ac88a69b16e274d2,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 00:38:07.388000+00:00,diversity,error_per_label
0,O,0.1269633002739937,0adb2b7a0f424204a69a34db9c4b1d7a,d26283e80e6f42e0a21b0adbb76467cf,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 10:20:53.123000+00:00,fluctuation-historical-sequence,error_per_label
1,con,0.6108152396558787,0adb2b7a0f424204a69a34db9c4b1d7a,d26283e80e6f42e0a21b0adbb76467cf,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 10:20:53.123000+00:00,fluctuation-historical-sequence,error_per_label
2,pro,0.5620033265570135,0adb2b7a0f424204a69a34db9c4b1d7a,d26283e80e6f42e0a21b0adbb76467cf,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 10:20:53.123000+00:00,fluctuation-historical-sequence,error_per_label
0,O,0.1188978504997491,88e21f16eb1c4628baa99d20af92e861,339cccb8a3e54404a5ce434733bf7ed6,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-02 23:39:09.304000+00:00,sequential-representation-least-confidence,error_per_label
1,con,0.6288406390823433,88e21f16eb1c4628baa99d20af92e861,339cccb8a3e54404a5ce434733bf7ed6,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-02 23:39:09.304000+00:00,sequential-representation-least-confidence,error_per_label
2,pro,0.5292921825910183,88e21f16eb1c4628baa99d20af92e861,339cccb8a3e54404a5ce434733bf7ed6,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-02 23:39:09.304000+00:00,sequential-representation-least-confidence,error_per_label
0,O,0.125535445529271,e2a79617e2ae4293809d90e269e46f4d,95b34a7b77f149e48a39a6d032d710cc,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 01:14:43.744000+00:00,representative-diversity,error_per_label
1,con,0.525809094633347,e2a79617e2ae4293809d90e269e46f4d,95b34a7b77f149e48a39a6d032d710cc,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 01:14:43.744000+00:00,representative-diversity,error_per_label
2,pro,0.6091295509148031,e2a79617e2ae4293809d90e269e46f4d,95b34a7b77f149e48a39a6d032d710cc,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 01:14:43.744000+00:00,representative-diversity,error_per_label
0,O,0.1376143248562497,40721ed6ba5d4a1a85838ffca586d8e0,4d05c5980ffc41e287e2a258b1a6a2b4,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 12:55:34.703000+00:00,max-tag-count,error_per_label
1,con,0.5649324047521508,40721ed6ba5d4a1a85838ffca586d8e0,4d05c5980ffc41e287e2a258b1a6a2b4,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 12:55:34.703000+00:00,max-tag-count,error_per_label
2,pro,0.5544261689151728,40721ed6ba5d4a1a85838ffca586d8e0,4d05c5980ffc41e287e2a258b1a6a2b4,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 12:55:34.703000+00:00,max-tag-count,error_per_label
0,O,0.0943541851580287,4fa8bdee9cee40b98e9f946b4488df8d,5ff0f72cd6dc4e0296a28cd0f072f1b8,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 21:22:32.735000+00:00,k-means-cluster-based-bert-km,error_per_label
1,con,0.659975419909873,4fa8bdee9cee40b98e9f946b4488df8d,5ff0f72cd6dc4e0296a28cd0f072f1b8,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 21:22:32.735000+00:00,k-means-cluster-based-bert-km,error_per_label
2,pro,0.6610608020698577,4fa8bdee9cee40b98e9f946b4488df8d,5ff0f72cd6dc4e0296a28cd0f072f1b8,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 21:22:32.735000+00:00,k-means-cluster-based-bert-km,error_per_label
0,O,0.1324045845714506,8e3379f2c3ec49d98d7ee9e4d781553c,e47a4c010a604c658121c5cc8b11fb2a,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 16:41:16.994000+00:00,tag-flip-historical,error_per_label
1,con,0.5915608357230643,8e3379f2c3ec49d98d7ee9e4d781553c,e47a4c010a604c658121c5cc8b11fb2a,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 16:41:16.994000+00:00,tag-flip-historical,error_per_label
2,pro,0.5400110885233783,8e3379f2c3ec49d98d7ee9e4d781553c,e47a4c010a604c658121c5cc8b11fb2a,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 16:41:16.994000+00:00,tag-flip-historical,error_per_label
0,O,0.1089800486242426,f86cd3f3189c415aa137a60ca9b3a3e2,b671db03d956448db305c30b6d0ef162,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 17:43:49.005000+00:00,round-robin-highest-confidence,error_per_label
1,con,0.5788611224907825,f86cd3f3189c415aa137a60ca9b3a3e2,b671db03d956448db305c30b6d0ef162,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 17:43:49.005000+00:00,round-robin-highest-confidence,error_per_label
2,pro,0.579744963962299,f86cd3f3189c415aa137a60ca9b3a3e2,b671db03d956448db305c30b6d0ef162,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 17:43:49.005000+00:00,round-robin-highest-confidence,error_per_label
0,O,0.1116813954385829,0924afcfd5ac479a97ee30c5722fd65d,9a2db48f93a54085ac88a69b16e274d2,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 00:06:45.230000+00:00,diversity,error_per_label
1,con,0.6653011061040557,0924afcfd5ac479a97ee30c5722fd65d,9a2db48f93a54085ac88a69b16e274d2,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 00:06:45.230000+00:00,diversity,error_per_label
2,pro,0.5973017926446128,0924afcfd5ac479a97ee30c5722fd65d,9a2db48f93a54085ac88a69b16e274d2,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 00:06:45.230000+00:00,diversity,error_per_label
0,O,0.1306680044765175,3087e57cd5c54ccb913fc8e62c4be867,d26283e80e6f42e0a21b0adbb76467cf,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 09:21:24.275000+00:00,fluctuation-historical-sequence,error_per_label
1,con,0.6294551413355183,3087e57cd5c54ccb913fc8e62c4be867,d26283e80e6f42e0a21b0adbb76467cf,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 09:21:24.275000+00:00,fluctuation-historical-sequence,error_per_label
2,pro,0.56163370911107,3087e57cd5c54ccb913fc8e62c4be867,d26283e80e6f42e0a21b0adbb76467cf,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 09:21:24.275000+00:00,fluctuation-historical-sequence,error_per_label
0,O,0.1322888125651217,c9ad38a6f629413ca4b38d01f2fe97a8,339cccb8a3e54404a5ce434733bf7ed6,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-02 23:08:00.514000+00:00,sequential-representation-least-confidence,error_per_label
1,con,0.5874641540352314,c9ad38a6f629413ca4b38d01f2fe97a8,339cccb8a3e54404a5ce434733bf7ed6,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-02 23:08:00.514000+00:00,sequential-representation-least-confidence,error_per_label
2,pro,0.5551654038070597,c9ad38a6f629413ca4b38d01f2fe97a8,339cccb8a3e54404a5ce434733bf7ed6,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-02 23:08:00.514000+00:00,sequential-representation-least-confidence,error_per_label
